v3_start,v3_end,offset,match_method
23575,23595,82,gaia
23596,23596,82,tyc
23597,23688,82,gaia
23689,23774,83,gaia
23775,23775,83,tyc
23776,23864,83,gaia
23865,23865,83,tyc
23866,23927,83,gaia
23928,23928,83,tyc
23929,24019,83,gaia
24020,24020,83,tyc
24021,24037,83,gaia
24038,24038,83,tyc
24039,24199,83,gaia
24200,24200,83,tyc
24201,24284,83,gaia
24285,24285,83,tyc
24286,24328,83,gaia
24329,24329,83,tyc
24330,24399,83,gaia
24400,24411,84,gaia
24412,24412,84,tyc
24413,24421,84,gaia
24422,24422,83,gaia
24423,24465,84,gaia
24466,24497,85,gaia
24498,24498,85,tyc
24499,24605,85,gaia
24606,24652,86,gaia
24653,24653,86,tyc
24654,24667,86,gaia
24668,24703,87,gaia
24704,24704,87,tyc
24705,24756,87,gaia
24757,24757,87,tyc
24758,24856,87,gaia
24857,24857,87,tyc
24858,24858,86,gaia
24859,24894,87,gaia
24895,24895,87,tyc
24896,24908,87,gaia
24909,25006,88,gaia
25007,25007,88,tyc
25008,25008,88,gaia
25009,25009,88,tyc
25010,25066,88,gaia
25067,25067,88,tyc
25068,25103,88,gaia
25104,25104,88,tyc
25105,25289,88,gaia
25290,25290,88,tyc
25291,25359,88,gaia
25360,25360,88,tyc
25361,25415,88,gaia
25416,25416,88,tyc
25417,25635,88,gaia
25636,25655,89,gaia
25656,25666,90,gaia
25667,25667,90,tyc
25668,25736,90,gaia
25737,25737,90,tyc
25738,26007,90,gaia
26008,26008,90,tyc
26009,26064,90,gaia
26065,26065,90,tyc
26066,26200,90,gaia
26201,26201,90,tyc
26202,26229,90,gaia
26230,26230,90,tyc
26231,26252,90,gaia
26253,26253,90,tyc
26254,26264,90,gaia
26265,26265,90,tyc
26266,26337,90,gaia
26338,26338,90,tyc
26339,26347,90,gaia
26348,26348,90,tyc
26349,26352,90,gaia
26353,26353,90,tyc
26354,26365,90,gaia
26366,26366,90,tyc
26367,26378,90,gaia
26379,26379,90,tyc
26380,26433,90,gaia
26434,26434,90,tyc
26435,26465,90,gaia
26466,26466,90,tyc
26467,26509,90,gaia
26510,26510,90,tyc
26511,26517,90,gaia
26518,26518,90,tyc
26519,26567,90,gaia
26568,26568,90,tyc
26569,26653,90,gaia
26654,26654,90,tyc
26655,26655,90,gaia
26656,26656,90,tyc
26657,26799,90,gaia
26800,26800,90,tyc
26801,26830,90,gaia
26831,26831,90,tyc
26832,26923,90,gaia
26924,26924,90,tyc
26925,26936,90,gaia
26937,26937,90,tyc
26938,26949,90,gaia
26950,26950,90,tyc
26951,26954,90,gaia
26955,26959,91,gaia
26960,26960,91,tyc
26961,27085,91,gaia
27086,27086,91,tyc
27087,27173,91,gaia
27174,27174,91,tyc
27175,27227,91,gaia
27228,27228,91,tyc
27229,27246,91,gaia
27247,27247,91,tyc
27248,27329,91,gaia
27330,27330,91,tyc
27331,27401,91,gaia
27402,27402,91,tyc
27403,27406,91,gaia
27407,27407,91,tyc
27408,27430,91,gaia
27431,27431,91,tyc
27432,27535,91,gaia
27536,27536,91,tyc
27537,27711,91,gaia
27712,27712,91,tyc
27713,27736,91,gaia
27737,27737,91,tyc
27738,27761,91,gaia
27762,27762,91,tyc
27763,27774,91,gaia
27775,27779,92,gaia
27780,27780,92,tyc
27781,27786,92,gaia
27787,27837,93,gaia
27838,27838,93,tyc
27839,27849,93,gaia
27850,27850,93,tyc
27851,27866,93,gaia
27867,28009,94,gaia
28010,28010,93,gaia
28011,28078,94,gaia
28079,28079,94,tyc
28080,28123,94,gaia
28124,28124,94,tyc
28125,28208,94,gaia
28209,28209,94,tyc
28210,28259,94,gaia
28260,28260,94,tyc
28261,28357,94,gaia
28358,28358,94,tyc
28359,28405,94,gaia
28406,28406,94,tyc
28407,28411,94,gaia
28412,28412,94,tyc
28413,28460,94,gaia
28461,28461,94,tyc
28462,28496,94,gaia
28497,28536,95,gaia
28537,28537,95,tyc
28538,28562,95,gaia
28563,28662,96,gaia
28663,28666,97,gaia
28667,28667,97,tyc
28668,28675,97,gaia
28676,28676,97,tyc
28677,28847,97,gaia
28848,28873,98,gaia
28874,28874,98,tyc
28875,29128,98,gaia
29129,29222,99,gaia
29223,29280,100,gaia
29281,29288,101,gaia
29289,29289,101,tyc
29290,29407,101,gaia
29408,29408,101,tyc
29409,29410,101,gaia
29411,29411,101,tyc
29412,29563,101,gaia
29564,29669,102,gaia
29670,29670,102,tyc
29671,29756,102,gaia
29757,29757,102,tyc
29758,29806,102,gaia
29807,29807,102,tyc
29808,29848,102,gaia
29849,29849,102,tyc
29850,30126,102,gaia
30127,30127,102,tyc
30128,30264,102,gaia
30265,30265,102,tyc
30266,30333,102,gaia
30334,30334,102,tyc
30335,30457,102,gaia
30458,30537,103,gaia
30538,30538,103,tyc
30539,30593,103,gaia
30594,30594,103,tyc
30595,30608,103,gaia
30609,30609,103,tyc
